YB,YB_long,YB_lat,8umphotom,12umphotom,24umphotom,70umphotom,8flag1,12flag1,24flag1,70flag1
ID Number,degree,degree,Jy,Jy,Jy,Jy,Saturated,Saturated,Saturated,Saturated
1292,32.32746641,0.2558036,0.12064,0.04356,0.05719,3.16036,0,0,0,0
1293,32.40008716,-0.328267141,0.31521,0.11978,0.27392,5.21313,0,0,0,0
1294,32.40419271,0.162290035,0.31076,0.14584,2.26808,22.15841,0,0,0,0
1295,32.42236569,0.078306821,1.39319,0.82212,3.50113,64.59037,0,0,0,0
1296,32.4368631,0.416077649,0.27276,0.09299,0.17632,3.64884,0,0,0,0
1297,32.45818191,0.226066752,0.40768,0.19104,0.62312,10.57526,0,0,0,0
1298,32.45822771,0.385581835,0.8339,0.45325,1.1155,30.53034,0,0,0,0
1299,32.46353232,0.194109719,0.15628,0.15781,,10.02615,0,0,1,0
1300,32.46622382,0.200427319,0.49384,0.10089,,13.28434,0,0,1,0
1301,32.473514,0.205644478,2.17853,1.7232,,197.98032,0,0,1,0
1302,32.50756352,0.842581872,0.26221,0.16319,0.09793,1.47489,0,0,0,0
1303,32.57647732,-0.623062777,0.37611,0.21847,0.11876,4.92965,0,0,0,0
1304,32.57798664,0.41915333,0.09986,0.05144,0.0851,1.13087,0,0,0,0
1305,32.60104944,-0.251384074,3.61874,2.01227,5.22403,71.94475,0,0,0,0
1306,32.61053412,-0.240903175,1.89173,1.01996,2.85642,49.08572,0,0,0,0
1307,32.62680708,-0.101973384,0.30844,0.12958,0.16293,8.71812,0,0,0,0
1308,32.63243029,-0.130948811,0.27602,0.12586,0.11038,2.75506,0,0,0,0
1309,32.632485,-0.66207049,0.09907,0.00263,0.10278,4.61364,0,0,0,0
1310,32.64853003,-0.648559669,0.14473,0.04478,0.13556,1.97297,0,0,0,0
1311,32.69297207,0.046956598,0.36122,0.16236,0.3675,7.5272,0,0,0,0
1312,32.70323151,-0.056339293,0.14441,0.01984,0.23474,20.9462,0,0,0,0
1313,32.70956274,-0.062482775,1.51018,0.65702,2.04964,23.52468,0,0,0,0
1314,32.72309561,-0.295612198,0.12151,0.05896,0.10438,1.20651,0,0,0,0
1315,32.73955676,0.194441084,0.23047,0.19758,2.6903,28.69258,0,0,0,0
1316,32.74573559,-0.073397213,0.13343,0.03293,1.12249,317.742,0,0,0,0
1317,32.74835255,-0.063748921,1.56584,0.81945,4.78613,85.03337,0,0,0,0
1318,32.76926217,-0.182820422,0.09166,0.01345,0.19871,6.71379,0,0,0,0
1319,32.772946,-0.05924745,0.08568,0.03762,0.22135,5.50166,0,0,0,0
1320,32.77479152,0.184199381,0.25588,0.33151,1.65674,14.79746,0,0,0,0
1321,32.79228785,0.193346309,0.42255,,,-49.85265,0,1,1,0
1322,32.79413543,0.206211173,0.45431,,,22.05359,0,1,1,0
1323,32.79643753,0.188904707,9.23282,,,3730.56019,0,1,1,0
1324,32.79714584,0.183967142,0.1863,,,29.97478,0,1,1,0
1325,32.83251944,-0.215919103,0.63393,0.15648,0.45939,15.8151,0,0,0,0
1326,32.85985257,-0.410472741,0.52463,0.1339,0.21919,7.18168,0,0,0,0
1327,32.87155415,0.696856403,0.06816,0.05758,0.04935,0.37938,0,0,0,0
1328,32.88770103,-0.278227092,0.80416,0.46791,0.49074,8.71704,0,0,0,0
1329,32.92758727,0.605645977,1.7016,3.15456,,203.63403,0,0,1,0
1330,32.94489455,-0.376904022,0.1567,0.08629,0.47786,3.60745,0,0,0,0
1331,32.95934962,0.126671011,0.17823,0.09373,0.13098,6.37953,0,0,0,0
1332,32.96237049,-0.33954263,0.62526,0.43546,1.52675,33.56303,0,0,0,0
1333,32.99047789,0.039122175,2.14787,0.92814,10.64428,345.7818,0,0,0,0
1334,33.01988241,-0.358036796,0.22154,0.0478,0.06143,1.76968,0,0,0,0
1335,33.02330848,-0.365203278,1.30088,0.54618,4.99656,55.32767,0,0,0,0
1336,33.04832427,0.076767789,0.31264,0.13837,0.18242,14.53907,0,0,0,0
1337,33.06876725,-0.197558968,0.26276,0.16565,0.72109,12.11652,0,0,0,0
1338,33.1103629,-0.094027653,0.12841,0.34524,3.39909,28.21508,0,0,0,0
1339,33.13301905,-0.09274251,0.44361,0.20369,,442.52294,0,0,1,0
1340,33.14259378,-0.086817251,0.57978,1.05178,,31.93162,0,0,1,0
1341,33.20258294,-0.009753983,1.86799,1.21048,,118.26729,0,0,1,0
1342,33.20780924,-0.013422492,0.58477,0.36099,,12.03589,0,0,1,0
1343,33.26324457,0.065896239,0.76512,0.29189,3.17746,45.59902,0,0,0,0
1344,33.28946204,-0.01904508,2.24283,1.12083,4.31479,90.40331,0,0,0,0
1345,33.29842175,-0.338348731,0.13398,0.10054,0.09633,2.93853,0,0,0,0
1346,33.30247493,0.094272322,0.16004,0.05672,0.17047,7.04232,0,0,0,0
1347,33.31360806,-0.271657146,0.45403,0.20182,0.44562,11.94158,0,0,0,0
1348,33.3305919,0.163672044,0.25045,0.06533,0.17228,2.65537,0,0,0,0
1349,33.33686398,0.165470433,1.0595,0.39601,0.95478,18.79863,0,0,0,0
1350,33.39185279,-0.012650425,0.03948,0.07257,0.51405,1.78243,0,0,0,0
1351,33.40433828,0.373447629,0.04632,0.03487,0.02959,2.08007,0,0,0,0
